trip_date,total_pooled_trips,total_trips,pool_efficiency_pct
2025-07-01,4844,177451,2.72976765416932
2025-07-02,7612,215093,3.538934321433054
2025-07-03,6946,215464,3.223740392826644
2025-07-04,8812,248951,3.539652381392322
2025-07-05,9782,279690,3.4974435982695127
2025-07-06,9387,233262,4.0242302646809165
2025-07-07,7320,204692,3.576104586402986
2025-07-08,7435,217024,3.4258883810085523
2025-07-09,7652,221577,3.453427025368157
2025-07-10,8110,236118,3.434723316307948
2025-07-11,9749,273266,3.5675861614690447
2025-07-12,11068,302278,3.6615301146626615
2025-07-13,10428,241427,4.319318054732901
2025-07-14,8065,205450,3.925529325870041
2025-07-15,7984,220134,3.626881808353094
2025-07-16,6617,225110,2.9394518235529294
2025-07-17,4123,237907,1.7330301336236427
2025-07-18,4414,260732,1.692926069680745
2025-07-19,5262,282415,1.8632154807641237
2025-07-20,5667,238411,2.3769876389931675
2025-07-21,5519,204862,2.694008649725181
2025-07-22,6093,220754,2.760085887458438
2025-07-23,8208,233615,3.5134730218521923
2025-07-24,9509,261547,3.635675423537643
2025-07-25,9541,270317,3.529559739121106
2025-07-26,9809,312228,3.141614461227052
2025-07-27,8925,250437,3.5637705291151067
2025-07-28,8343,216351,3.8562336203669036
2025-07-29,8707,227054,3.8347705832092807
2025-07-30,8072,233779,3.452833659139615
2025-07-31,9175,250528,3.662265295695491
2025-08-01,11374,273063,4.165339134192476
2025-08-02,10867,276444,3.9309950659084656
2025-08-03,10879,252711,4.304917474902161
2025-08-04,7766,187287,4.146577178341262
2025-08-05,8512,203525,4.1822871883061055
2025-08-06,7392,208915,3.5382811191154295
2025-08-07,7903,230485,3.4288565416404535
2025-08-08,8625,263247,3.2763906141380525
2025-08-09,8595,275430,3.120575100751552
2025-08-10,8122,228308,3.5574749899258897
2025-08-11,6436,209743,3.0685171853172695
2025-08-12,6436,224601,2.8655259771773056
2025-08-13,6126,229541,2.668804265904566
2025-08-14,6346,238626,2.659391684057898
2025-08-15,7809,263235,2.9665508006154195
2025-08-16,8315,282080,2.9477453204764603
2025-08-17,8316,229245,3.6275600340247336
2025-08-18,6298,194902,3.231367559080974
2025-08-19,7822,231354,3.380965965576562
